Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1875.486042756023,OUT049
FDW14,1591.761274078632,OUT017
NCN55,1822.6726586170034,OUT010
FDQ58,2546.362959157393,OUT017
FDY38,5087.605400109229,OUT027
FDH56,1942.6371302122495,OUT046
FDL48,680.8000272442418,OUT018
FDC48,2806.0427441358893,OUT027
FDN33,1541.247755806771,OUT045
FDA36,3051.675735541095,OUT017
FDT44,2004.9816551032447,OUT017
FDQ56,1358.1533406290982,OUT045
NCC54,1819.7081624356479,OUT019
FDU11,2076.750193350651,OUT049
DRL59,963.7365800429792,OUT013
FDM24,2541.5716064996277,OUT049
FDI57,3047.5751030919682,OUT045
DRC12,2726.5903317931256,OUT018
NCM42,3196.322082094339,OUT027
FDA46,1129.0865932092925,OUT010
FDA31,2782.8531016284605,OUT013
NCJ31,3802.6708588839992,OUT035
FDG52,863.6967323629369,OUT046
NCL19,383.67497397229477,OUT019
FDS10,2986.4040703131786,OUT035
FDX22,1453.270064260275,OUT010
NCF19,998.5313152811389,OUT035
NCE06,2519.829608866119,OUT046
DRC27,3768.666066789686,OUT046
FDE21,2044.9750562281504,OUT035
NCR42,-1251.1341145471429,OUT019
FDX51,2840.7076836527963,OUT018
NCR06,510.7134768810498,OUT018
FDU31,4872.661618212023,OUT027
FDU59,2684.937811854624,OUT017
FDR03,4667.855182836753,OUT027
FDS49,2769.552144702109,OUT027
FDD48,-11.742853337761517,OUT010
NCF18,3083.509221364911,OUT017
NCD43,3104.4140854002508,OUT027
NCD54,2007.8274969877748,OUT018
FDY19,23.56811324654609,OUT010
NCY54,2783.2415589678108,OUT017
NCL19,2023.5214175263468,OUT018
FDP23,1509.3653428274192,OUT010
FDC26,1848.5794920752433,OUT013
FDR14,-931.074945592853,OUT010
NCS41,2986.6196676007457,OUT035
FDF41,3971.3364664503215,OUT035
FDU34,2004.5683173135985,OUT046
DRH11,984.1695289641882,OUT046
FDM03,1734.3034064058759,OUT013
FDS31,2964.893326909249,OUT017
FDJ20,2116.7529678965657,OUT017
FDV44,4427.784808962078,OUT027
FDG02,3080.328271401881,OUT049
FDA09,2877.990100455804,OUT013
FDT04,743.8136889644121,OUT013
FDL58,2224.4305199227947,OUT019
FDE52,1472.2979119940537,OUT045
FDW12,2500.3276177547996,OUT035
FDL51,3499.1716317514497,OUT017
NCY42,3669.354199459301,OUT027
FDR07,1704.3865411049342,OUT017
FDN40,2341.9257898901215,OUT045
FDB35,2975.9387231789165,OUT027
FDA22,2708.4019276470276,OUT017
NCL06,4020.093188584381,OUT046
FDI35,2889.386905085806,OUT013
NCW42,3358.986753706944,OUT045
NCX06,2926.3408466167157,OUT049
FDC37,3208.31548174124,OUT027
FDZ14,1759.3628553683411,OUT018
DRG49,3880.4720445096305,OUT049
NCG06,3875.837440520004,OUT045
DRC36,2697.4303484146412,OUT045
FDV21,89.20329367236536,OUT019
FDB53,2335.28360036281,OUT046
DRP47,1969.3600466199523,OUT019
FDA14,2346.3123118934705,OUT013
DRC24,2559.436840774868,OUT035
FDW21,1431.1415252561833,OUT018
NCH29,1574.1901419858746,OUT046
FDU58,3038.849954510204,OUT013
FDY27,2888.586673528192,OUT017
FDV56,1978.6353753250964,OUT035
FDT59,3588.2190445169254,OUT046
FDB23,3557.519898156397,OUT046
FDR49,760.3217983798729,OUT045
FDB03,1879.1002918477907,OUT010
FDN39,2601.008116477853,OUT045
FDX02,4893.539499114106,OUT027
FDQ16,3196.5764802810204,OUT027
FDU35,1349.3325726460896,OUT018
NCT29,1985.4074128544567,OUT013
FDZ27,871.1855531616686,OUT046
FDN57,2352.0259350435463,OUT017
FDA03,2095.9434563670666,OUT018
FDZ36,2892.910145545565,OUT045
NCU05,1378.5344023376722,OUT013
FDT39,2199.463258352248,OUT018
FDK60,1722.7099429732357,OUT017
FDZ25,2809.5987327632397,OUT017
FDG12,1996.2641667968066,OUT046
DRB01,1083.3357803119584,OUT019
NCC43,5257.561572088322,OUT027
FDX13,1979.8573545982817,OUT019
FDM22,1099.9470861104874,OUT049
FDJ03,2354.4228412884295,OUT027
FDU14,3604.6800005478603,OUT018
FDB33,672.5769401362744,OUT010
FDP27,2975.1934067615766,OUT046
FDO38,-582.7923496414342,OUT010
FDE28,5039.563589210016,OUT027
FDO27,1728.2847298513589,OUT035
DRL23,3168.950989414748,OUT027
FDS28,1027.0683487085073,OUT046
FDX24,1576.821883985006,OUT013
FDZ02,1784.0734724042354,OUT035
FDL46,1839.2554744810393,OUT045
FDS60,4250.409336238305,OUT027
NCO06,717.6465905641746,OUT017
FDO16,1575.604240547302,OUT035
FDC60,1593.720043722139,OUT049
FDA48,3143.385870077206,OUT018
FDZ36,4385.028482398677,OUT027
FDK27,1908.4289842610208,OUT045
FDW23,471.6325537035442,OUT018
FDM14,1541.1823508090108,OUT018
FDM14,1815.3528147796865,OUT013
FDW60,2582.1162522474688,OUT018
FDE21,1937.836744936773,OUT013
NCM42,1909.629563140407,OUT035
FDY59,-325.27664244780635,OUT010
DRI49,1411.6164616201527,OUT049
FDT28,537.2071923218481,OUT019
FDQ22,492.4516104473238,OUT018
FDR60,1379.384404607902,OUT049
FDC50,-340.2531082544433,OUT019
FDV24,2420.169634351454,OUT013
DRF48,1114.8936484944275,OUT010
FDQ47,720.7024107545553,OUT046
DRN36,1683.403725076681,OUT049
NCY06,2186.54569668034,OUT035
FDE52,1667.7100348612535,OUT035
NCB54,1960.273423289846,OUT045
NCF31,2544.246719333175,OUT035
FDJ08,4390.76265434792,OUT027
NCC07,1827.1444492907688,OUT017
NCD19,2337.084931130401,OUT027
FDL46,2028.7564046335751,OUT049
FDM20,3747.487028898603,OUT045
NCI06,943.0398761002467,OUT010
DRM11,4122.364533017647,OUT035
NCH07,2216.561537605648,OUT018
FDS23,2100.7278006301876,OUT013
FDO49,669.6110700121149,OUT018
FDS35,1217.2217140612677,OUT049
DRK39,1285.972681373592,OUT045
DRI39,1099.9780065826926,OUT049
FDV04,2624.863110966566,OUT017
NCN14,2975.4833906593067,OUT035
FDH08,3643.5167154159763,OUT013
FDS20,2869.6655231483437,OUT046
FDV40,1379.9784542136142,OUT049
FDZ48,-86.89226142343978,OUT010
FDS24,2932.014853212058,OUT027
FDK44,2828.4979432217174,OUT049
FDS48,2339.162803170231,OUT045
FDK26,1102.71344936989,OUT010
FDD23,2937.0715590527197,OUT045
NCH54,2634.218337339125,OUT017
NCP14,-188.7688828344119,OUT010
FDM60,-1102.8992058263443,OUT010
FDV24,2476.4049421632067,OUT017
FDH08,3307.193971473378,OUT018
FDS12,3456.9008641950745,OUT027
FDR39,4257.419862283463,OUT027
FDP12,2172.111692841849,OUT027
DRF60,5054.8400351898,OUT027
FDC09,1883.508662707904,OUT035
FDF50,2792.6310969882384,OUT018
FDG28,3949.8115523137803,OUT035
NCE19,1057.1553589040075,OUT017
NCM53,-135.38119785417848,OUT010
NCN18,1869.172365792888,OUT049
FDF32,3238.1001142024807,OUT035
FDF11,3794.3675501120706,OUT013
DRI59,3568.414316636819,OUT049
NCG54,2780.9423983464103,OUT035
FDM44,1678.2034344736805,OUT046
FDT57,3413.214260619038,OUT018
FDV24,2369.6357117290463,OUT046
